Pop,PM,NCD25,NCD30,NCD35,NCD40,NCD45,NCD50,NCD55,NCD60,NCD65,NCD70,NCD75,NCD80,NCD85,NCD90,NCD95
17776490,28,1167,1499,1968,2331,2636,3229,3918,4718,5362,5531,5643,8406,6359,2825,453
12643149,53,600,748,913,1300,1614,2212,2686,3563,4009,4124,4012,3563,2515,1371,444
1901191,54,128,160,205,284,337,419,500,586,599,573,502,365,207,82,24
770705,20,56,70,102,167,254,379,518,605,638,554,502,421,269,184,64
12402099,19,770,1143,1657,2333,2926,3886,4876,6049,6681,6350,5842,4966,2882,1216,355
9814396,23,297,394,592,984,1495,2136,2969,3817,4572,5385,5624,4984,3192,1441,457
9674413,16,142,246,510,1228,2316,3960,5790,10189,13293,14282,17110,18582,17864,10840,4309
344876,6,6,7,11,16,27,45,73,105,138,181,210,265,331,275,182
1390706968,83,58630,88503,129904,176759,248158,366771,483733,619305,763245,815453,794324,742069,398379,182912,40300
259465835,19,10066,15281,25878,43187,65429,93511,123332,151621,164050,163509,159744,138715,89111,35331,9429
84297882,38,2411,4028,5535,6681,9286,14104,19414,27194,30043,32650,40497,48946,44677,23128,7690
42119490,48,1331,1652,2233,3742,7013,8990,11157,14066,16090,17114,16218,14010,9926,5409,2131
4910357,8,68,104,179,281,458,724,1114,1585,2344,3373,4042,4887,4958,3254,1601
9309583,20,91,141,233,396,623,970,1439,2217,3432,4685,4759,6870,7484,5761,3274
60313170,16,510,815,1452,3006,5922,10605,15799,22339,33099,50338,72917,108632,128053,97420,47147
2810754,15,105,151,200,299,492,720,1018,1338,1552,1985,2040,2121,1979,1488,1332
127788411,13,722,1318,2604,5563,10845,16308,23683,37551,67253,106781,146428,195130,235503,203781,141168
11636717,31,194,267,417,642,1070,1576,1952,2337,2844,3277,3733,2962,1788,820,341
18392068,20,860,1665,2384,3251,4552,6512,10355,12611,14692,11762,14566,17754,8519,5395,1064
50227709,22,1662,2143,3057,4554,5938,7591,9386,11654,13009,13752,12851,10358,6363,2715,923
118621,9,19,27,37,52,62,83,109,112,85,71,63,38,19,6,1
4426561,61,67,146,217,339,463,601,617,672,580,747,629,783,892,557,282
6535459,24,282,469,639,892,1227,1719,2634,3057,3250,2194,2820,3733,2850,1775,434
7158250,21,358,510,687,1012,1398,2007,2616,3158,3336,3263,3302,2872,1803,795,269
1915292,12,52,109,164,265,447,720,1214,1730,2126,2451,3765,4612,4069,2724,819
5177069,29,180,260,345,472,764,1102,1622,2026,2841,3837,4528,4945,3994,2095,656
2091588,28,102,156,253,381,525,783,1070,1326,1516,1434,1180,907,512,186,46
4789907,51,195,232,326,499,656,688,789,935,1043,1074,1118,1065,758,390,128
6735543,39,236,373,615,926,1370,1576,1767,2183,2405,2598,2951,2632,2355,1484,722
2794223,10,89,158,231,376,660,1043,1783,2373,2858,3128,4636,6223,6361,4002,1123
618550,10,10,15,23,37,63,106,152,205,266,343,451,583,669,500,257
2152731,30,47,73,142,232,454,749,1299,1921,2770,3180,4294,4104,2757,732,63
26690344,18,1392,1671,2280,3392,4300,5504,6733,7921,7584,7097,6000,4715,2890,1232,366
18442238,22,707,870,1132,1648,2023,2415,2884,3973,4939,5226,4633,3566,2166,1110,408
31301402,17,940,1571,2256,3084,4536,6914,10291,13682,16764,19311,16573,15162,9301,5546,1248
498414,11,14,24,31,35,43,57,72,88,86,100,147,192,159,69,24
21917467,61,846,982,1209,1673,2175,3010,3660,4748,5357,5730,5515,4638,2947,1462,465
439221,13,7,10,15,24,36,54,104,183,284,463,454,600,567,374,232
56842,9,6,10,15,21,26,31,37,41,41,33,22,15,9,3,1
4014273,67,106,134,168,252,338,492,633,881,1044,1132,1278,1245,942,398,176
1276663,15,51,69,136,220,318,533,792,1062,1259,1229,1104,1016,873,548,297
124940175,20,4674,6613,9933,15623,23110,33112,43215,53392,59034,65968,71818,72312,62625,39041,18231
3688191,14,101,208,367,598,928,1398,2622,3845,5037,3457,4822,5718,4012,2612,1201
3387589,38,211,419,623,1000,1454,2047,2486,2499,1970,1801,1830,1857,1357,287,25
620340,21,11,19,36,59,107,207,362,555,778,771,985,1219,831,339,88
35952186,35,756,1182,2078,3703,6331,10145,15820,21154,23028,22831,24508,24047,16783,9042,3278
29528037,21,1079,1154,1673,2692,3709,4689,5679,7236,8449,8307,7194,5708,3196,1487,539
54676901,29,3135,4330,6339,9659,13822,19832,25957,32495,36161,37255,36023,35007,25711,12385,3696
2403124,24,67,99,149,236,350,491,622,797,964,1106,1250,1095,734,327,118
30416382,83,1050,1280,1861,3013,4701,7160,10059,13828,17853,19860,19892,16320,10247,4310,1470
17156788,12,173,263,412,745,1650,3111,5171,7635,11184,17013,18896,23539,24968,17465,8605
4495667,6,68,94,143,249,486,790,1270,1746,2463,3458,4171,4842,5238,4049,2201
6510365,20,167,223,336,529,804,1180,1638,2135,2561,3032,3320,3241,2318,1063,387
23295353,80,735,814,1024,1420,1712,2627,3501,4512,4616,4786,4864,3216,1677,881,263
214823786,70,6462,7772,9962,14126,18933,25826,30975,37584,41471,41575,55945,45822,28937,14794,5798
