int,gamma,delta,theta,alpha,mu,v
-0.001972043,1.65444153,24.20974726,-1.252421778,22.64801867,0.722892264,1.561428368
0.005288199,10.75013451,22.33980395,-10.28278754,21.8596375,-3.605342016,1.583743082
-0.012563088,1.196504901,21.83906127,-1.20598864,32.10289695,1.179365953,1.574590762
0.000845075,0.99076258,21.83906127,-0.966016776,32.10289695,1.179365953,1.574590762
0.003590947,1.530308474,24.20974726,-1.153641648,22.64801867,0.722892264,1.561428368
-0.010641956,1.258486039,21.83906127,-1.300482428,32.10289695,1.179365953,1.574590762
-0.012510148,-1.414926927,4.46373928,1.213912905,2.338870118,-11.54775927,10.54548438
0.003383477,0.09434762,4.599848934,-0.259722014,44.72868634,15.01396387,0.903234339
0.01280155,10.69655217,22.33980395,-10.23288018,21.8596375,-3.605342016,1.583743082
-0.010737406,1.049514256,21.83906127,-1.011307466,32.10289695,1.179365953,1.574590762
0.019977772,11.08107039,22.33980395,-10.64072482,21.8596375,-3.605342016,1.583743082
0.006700666,1.578257936,24.20974726,-1.227619117,22.64801867,0.722892264,1.561428368
-0.002638033,1.198211314,21.83906127,-1.254598137,32.10289695,1.179365953,1.574590762
0.000474434,1.115266505,21.83906127,-1.144800345,32.10289695,1.179365953,1.574590762
0.017138092,8.846774943,22.33980395,-8.427700434,21.8596375,-3.605342016,1.583743082
-0.005312014,7.17426808,27.82410651,-8.446321687,35.76400819,-3.176982476,1.403557444
0.017690799,9.088136238,22.33980395,-8.670824362,21.8596375,-3.605342016,1.583743082
0.001378014,-1.070317041,4.46373928,0.929131355,2.338870118,-11.54775927,10.54548438
0.004112819,1.414377653,24.20974726,-1.045162629,22.64801867,0.722892264,1.561428368
0.006950508,13.48153482,22.33980395,-12.95163803,21.8596375,-3.605342016,1.583743082
0.008899778,1.248031989,24.20974726,-0.903413504,22.64801867,0.722892264,1.561428368
-0.006422976,1.100280044,21.83906127,-1.094959772,32.10289695,1.179365953,1.574590762
-0.003533885,6.264792562,27.82410651,-7.311732312,35.76400819,-3.176982476,1.403557444
-0.010443643,0.384675595,11.90742305,-0.445575145,35.25117226,3.679976821,0.799427639
0.003825909,0.838681632,21.83906127,-0.774587323,32.10289695,1.179365953,1.574590762
-0.01543126,1.468320379,21.83906127,-1.582479785,32.10289695,1.179365953,1.574590762
-0.004960002,1.305739297,21.83906127,-1.390985594,32.10289695,1.179365953,1.574590762
-0.004743099,0.350182466,11.90742305,-0.36567535,35.25117226,3.679976821,0.799427639
-0.005727524,1.944948014,24.20974726,-1.510263757,22.64801867,0.722892264,1.561428368
0.001884131,1.495139131,24.20974726,-1.128185237,22.64801867,0.722892264,1.561428368
-0.008568065,0.254521877,5.252729568,-0.356027208,19.02009702,1.493827363,1.073912626
0.002812771,5.819382441,27.82410651,-6.797592984,35.76400819,-3.176982476,1.403557444
-0.00531689,1.497096817,24.20974726,-1.098124979,22.64801867,0.722892264,1.561428368
-0.000561842,1.133619919,21.83906127,-1.172174838,32.10289695,1.179365953,1.574590762
-0.004022779,1.683889226,24.20974726,-1.281502338,22.64801867,0.722892264,1.561428368
0.022063452,2.531412986,29.22419808,-1.796719325,22.9754458,0.00669561,0.952785826
0.016783101,0.736622144,21.83906127,-0.652137657,32.10289695,1.179365953,1.574590762
0.002042096,1.76985889,24.20974726,-1.374001012,22.64801867,0.722892264,1.561428368
0.002726254,1.009410475,21.83906127,-1.006948089,32.10289695,1.179365953,1.574590762
-0.009881584,6.360415224,27.82410651,-7.407782424,35.76400819,-3.176982476,1.403557444
-0.002824572,1.137116479,21.83906127,-1.181450791,32.10289695,1.179365953,1.574590762
-0.01328915,0.264001759,5.252729568,-0.361026053,19.02009702,1.493827363,1.073912626
0.001302962,-1.325129149,4.46373928,1.13089647,2.338870118,-11.54775927,10.54548438
0.003089203,-1.069172069,4.46373928,0.926370236,2.338870118,-11.54775927,10.54548438
0.002190984,0.928146026,21.83906127,-0.886264948,32.10289695,1.179365953,1.574590762
0.00731492,-0.702851819,4.46373928,0.629265971,2.338870118,-11.54775927,10.54548438
0.003404809,0.099955475,4.599848934,-0.285910695,44.72868634,15.01396387,0.903234339
-0.00346228,0.956197149,21.83906127,-0.923127477,32.10289695,1.179365953,1.574590762
-0.002760078,1.645611014,24.20974726,-1.243691749,22.64801867,0.722892264,1.561428368
-0.003322607,1.10552801,21.83906127,-1.130403298,32.10289695,1.179365953,1.574590762
-0.011816165,1.404150957,21.83906127,-1.490150597,32.10289695,1.179365953,1.574590762
-0.002233526,1.030836349,21.83906127,-1.020566966,32.10289695,1.179365953,1.574590762
-0.004646484,1.133970895,21.83906127,-1.171056936,32.10289695,1.179365953,1.574590762
-0.001302541,1.631718308,24.20974726,-1.237550501,22.64801867,0.722892264,1.561428368
0.003294089,6.728192382,27.82410651,-7.941191428,35.76400819,-3.176982476,1.403557444
0.011709804,0.981668143,21.83906127,-1.006386246,32.10289695,1.179365953,1.574590762
0.005857431,1.271686471,24.20974726,-0.917174249,22.64801867,0.722892264,1.561428368
0.003400587,1.680259069,24.20974726,-1.300304382,22.64801867,0.722892264,1.561428368
-0.009929362,1.209898031,21.83906127,-1.25255534,32.10289695,1.179365953,1.574590762
-0.00843877,0.350392695,11.90742305,-0.380598648,35.25117226,3.679976821,0.799427639
0.001469875,1.470939481,24.20974726,-1.092737318,22.64801867,0.722892264,1.561428368
-0.016320723,-1.079363416,4.46373928,0.949325916,2.338870118,-11.54775927,10.54548438
-0.003077218,-0.930040248,4.46373928,0.821760009,2.338870118,-11.54775927,10.54548438
0.00335134,0.101451814,4.599848934,-0.291478736,44.72868634,15.01396387,0.903234339
0.007421648,0.955731758,21.83906127,-0.963331326,32.10289695,1.179365953,1.574590762
0.017422589,-8.253443546,35.5383946,2.809620783,6.418583899,-2.377564874,8.415177314
0.008513918,1.259121758,24.20974726,-0.921483702,22.64801867,0.722892264,1.561428368
0.014880489,8.102749138,22.33980395,-7.710677438,21.8596375,-3.605342016,1.583743082
0.003166635,0.917744921,21.83906127,-0.864553115,32.10289695,1.179365953,1.574590762
-0.00051981,1.922359823,24.20974726,-1.511234101,22.64801867,0.722892264,1.561428368
-0.013648832,0.429731342,11.90742305,-0.561109276,35.25117226,3.679976821,0.799427639
0.005711158,1.377522431,24.20974726,-1.014849571,22.64801867,0.722892264,1.561428368
-0.006897548,1.790952021,24.20974726,-1.358057996,22.64801867,0.722892264,1.561428368
0.001831156,1.022456684,21.83906127,-1.031330011,32.10289695,1.179365953,1.574590762
0.005488704,0.313317654,11.90742305,-0.342301763,35.25117226,3.679976821,0.799427639
-0.011396264,6.72910694,27.82410651,-7.874850312,35.76400819,-3.176982476,1.403557444
-0.008541356,7.340486637,27.82410651,-8.654045836,35.76400819,-3.176982476,1.403557444
-0.001344054,1.726779348,24.20974726,-1.313087211,22.64801867,0.722892264,1.561428368
0.00500182,0.304387655,11.90742305,-0.322605234,35.25117226,3.679976821,0.799427639
-0.001433696,-1.22885458,4.46373928,1.059669497,2.338870118,-11.54775927,10.54548438
0.010002227,11.9137859,22.33980395,-11.41900756,21.8596375,-3.605342016,1.583743082
-0.018397041,-1.498644644,4.46373928,1.287474935,2.338870118,-11.54775927,10.54548438
-0.013085446,1.404068209,21.83906127,-1.487062858,32.10289695,1.179365953,1.574590762
-0.007375221,2.131281618,24.20974726,-1.709386473,22.64801867,0.722892264,1.561428368
0.012610578,1.476201046,24.20974726,-1.114742828,22.64801867,0.722892264,1.561428368
-0.006305174,1.21344057,21.83906127,-1.268151359,32.10289695,1.179365953,1.574590762
0.002730386,-1.056402853,4.46373928,0.920754616,2.338870118,-11.54775927,10.54548438
-0.002698089,7.164590794,27.82410651,-8.436411751,35.76400819,-3.176982476,1.403557444
-0.010217129,1.915598582,24.20974726,-1.465964264,22.64801867,0.722892264,1.561428368
0.01420982,1.332946719,24.20974726,-0.983672103,22.64801867,0.722892264,1.561428368
0.00754541,-0.976685909,4.46373928,0.84917852,2.338870118,-11.54775927,10.54548438
0.010499119,0.775344197,21.83906127,-0.707201882,32.10289695,1.179365953,1.574590762
-0.005958425,1.051879681,21.83906127,-1.022572514,32.10289695,1.179365953,1.574590762
0.001271594,1.076460203,21.83906127,-1.109222474,32.10289695,1.179365953,1.574590762
-0.001115945,1.235258465,21.83906127,-1.316697482,32.10289695,1.179365953,1.574590762
-0.004594735,1.152977592,21.83906127,-1.188287978,32.10289695,1.179365953,1.574590762
0.000107078,0.996694618,21.83906127,-0.990072756,32.10289695,1.179365953,1.574590762
0.002281189,1.476565594,24.20974726,-1.092357913,22.64801867,0.722892264,1.561428368
0.012890244,8.863195302,22.33980395,-8.437986556,21.8596375,-3.605342016,1.583743082
-0.003383927,1.770391381,24.20974726,-1.349545341,22.64801867,0.722892264,1.561428368
-0.00739951,1.126508539,21.83906127,-1.140303866,32.10289695,1.179365953,1.574590762
-0.007649506,1.215624993,21.83906127,-1.255173239,32.10289695,1.179365953,1.574590762
-0.002923065,-0.951502357,4.46373928,0.837897263,2.338870118,-11.54775927,10.54548438
-0.00419653,-0.947220133,4.46373928,0.834732041,2.338870118,-11.54775927,10.54548438
-0.00939388,1.293818054,21.83906127,-1.348135458,32.10289695,1.179365953,1.574590762
-0.013468805,1.301451907,21.83906127,-1.355868996,32.10289695,1.179365953,1.574590762
-0.008033083,1.845249762,24.20974726,-1.420276269,22.64801867,0.722892264,1.561428368
-0.006826928,1.760558975,24.20974726,-1.342214566,22.64801867,0.722892264,1.561428368
0.004134012,1.301590899,24.20974726,-0.943035648,22.64801867,0.722892264,1.561428368
0.017229183,13.1272021,22.33980395,-12.64612424,21.8596375,-3.605342016,1.583743082
-0.001095404,0.992620844,21.83906127,-0.979923192,32.10289695,1.179365953,1.574590762
0.006693973,1.035339394,21.83906127,-1.058141603,32.10289695,1.179365953,1.574590762
0.02430871,6.316585677,22.33980395,-5.971180601,21.8596375,-3.605342016,1.583743082
-0.012950178,-1.442413021,4.46373928,1.235110944,2.338870118,-11.54775927,10.54548438
-0.002265841,1.866978999,24.20974726,-1.446113423,22.64801867,0.722892264,1.561428368
0.006735371,0.796472961,21.83906127,-0.741921859,32.10289695,1.179365953,1.574590762
0.005871854,9.554234996,22.33980395,-9.111625726,21.8596375,-3.605342016,1.583743082
0.000224414,1.391036989,24.20974726,-1.004821195,22.64801867,0.722892264,1.561428368
0.006942582,0.734459893,21.83906127,-0.641492032,32.10289695,1.179365953,1.574590762
0.007479653,1.45478629,24.20974726,-1.106977658,22.64801867,0.722892264,1.561428368
0.002242742,-0.811471149,4.46373928,0.721400962,2.338870118,-11.54775927,10.54548438
-2.76E-05,0.916255076,21.83906127,-0.862122686,32.10289695,1.179365953,1.574590762
-0.008312438,1.308863466,21.83906127,-1.372915713,32.10289695,1.179365953,1.574590762
-0.000941912,1.129624673,21.83906127,-1.15213978,32.10289695,1.179365953,1.574590762
-0.013176144,-1.336479262,4.46373928,1.151519837,2.338870118,-11.54775927,10.54548438
-0.003033648,-1.150406461,4.46373928,0.996403551,2.338870118,-11.54775927,10.54548438
0.003076719,6.39638545,27.82410651,-7.513187617,35.76400819,-3.176982476,1.403557444
-0.011128472,-1.34938206,4.46373928,1.161515823,2.338870118,-11.54775927,10.54548438
0.005258972,0.981572948,21.83906127,-0.980640177,32.10289695,1.179365953,1.574590762
0.001465341,1.612678678,24.20974726,-1.214761091,22.64801867,0.722892264,1.561428368
-0.010394293,1.253374152,21.83906127,-1.293822923,32.10289695,1.179365953,1.574590762
0.005208779,0.09902462,4.599848934,-0.272397048,44.72868634,15.01396387,0.903234339
-0.002614157,-1.2281638,4.46373928,1.057390907,2.338870118,-11.54775927,10.54548438
-0.00132648,1.240706653,21.83906127,-1.30910088,32.10289695,1.179365953,1.574590762
0.007979483,1.576730799,24.20974726,-1.212580658,22.64801867,0.722892264,1.561428368
0.001881864,1.351754481,24.20974726,-0.981424297,22.64801867,0.722892264,1.561428368
-0.009741268,0.244206192,5.252729568,-0.320343512,19.02009702,1.493827363,1.073912626
-0.00117479,1.244653194,21.83906127,-1.332734926,32.10289695,1.179365953,1.574590762
-0.012775594,1.149339766,21.83906127,-1.167099785,32.10289695,1.179365953,1.574590762
0.01657235,-7.429503229,35.5383946,2.543365486,6.418583899,-2.377564874,8.415177314
-0.014622391,-1.182094651,4.46373928,1.027046527,2.338870118,-11.54775927,10.54548438
0.003722097,1.462620377,24.20974726,-1.081812444,22.64801867,0.722892264,1.561428368
-0.002873822,1.207488582,21.83906127,-1.272760376,32.10289695,1.179365953,1.574590762
-0.000730189,1.356967279,24.20974726,-0.977593633,22.64801867,0.722892264,1.561428368
0.009815951,1.184808357,24.20974726,-0.851253732,22.64801867,0.722892264,1.561428368
-0.001477951,0.983920102,21.83906127,-0.950346568,32.10289695,1.179365953,1.574590762
-0.003600808,1.121557397,21.83906127,-1.14451643,32.10289695,1.179365953,1.574590762
0.008502127,9.202142949,22.33980395,-8.777914189,21.8596375,-3.605342016,1.583743082
-0.002706895,-0.79050785,4.46373928,0.708483954,2.338870118,-11.54775927,10.54548438
0.000548612,1.064884518,21.83906127,-1.069492304,32.10289695,1.179365953,1.574590762
-0.001352016,7.548011882,27.82410651,-8.928088075,35.76400819,-3.176982476,1.403557444
0.002413361,1.47392086,24.20974726,-1.098449959,22.64801867,0.722892264,1.561428368
0.003390404,-0.6418463,4.46373928,0.586132776,2.338870118,-11.54775927,10.54548438
-0.005348981,1.479548357,24.20974726,-1.088835892,22.64801867,0.722892264,1.561428368
-0.004562115,1.19898954,21.83906127,-1.248968499,32.10289695,1.179365953,1.574590762
-0.013734159,-1.227065446,4.46373928,1.065569065,2.338870118,-11.54775927,10.54548438
0.006352295,0.78504472,21.83906127,-0.696087393,32.10289695,1.179365953,1.574590762
-0.011760853,-1.276399031,4.46373928,1.103775689,2.338870118,-11.54775927,10.54548438
-0.000101695,-1.101797459,4.46373928,0.958340453,2.338870118,-11.54775927,10.54548438
0.0040383,0.355198576,11.90742305,-0.440382221,35.25117226,3.679976821,0.799427639
-0.00644257,1.657423891,24.20974726,-1.253563466,22.64801867,0.722892264,1.561428368
0.00925355,14.40594223,22.33980395,-13.8731542,21.8596375,-3.605342016,1.583743082
0.001047268,1.466005056,24.20974726,-1.086664731,22.64801867,0.722892264,1.561428368
-0.000184117,1.139015786,21.83906127,-1.176560916,32.10289695,1.179365953,1.574590762
0.001471799,0.938137543,21.83906127,-0.904983656,32.10289695,1.179365953,1.574590762
-0.001608481,1.186537533,21.83906127,-1.265025849,32.10289695,1.179365953,1.574590762
0.006785641,1.514487079,24.20974726,-1.162645943,22.64801867,0.722892264,1.561428368
0.000971551,7.439106921,27.82410651,-8.828567864,35.76400819,-3.176982476,1.403557444
-0.001108854,1.804912275,24.20974726,-1.400836053,22.64801867,0.722892264,1.561428368
-0.008716034,-1.485037234,4.46373928,1.269163038,2.338870118,-11.54775927,10.54548438
0.002294378,-1.003861753,4.46373928,0.876733569,2.338870118,-11.54775927,10.54548438
-0.013498104,1.370710939,21.83906127,-1.444743519,32.10289695,1.179365953,1.574590762
0.000635097,6.12512504,27.82410651,-7.167183675,35.76400819,-3.176982476,1.403557444
-0.007011303,0.260592944,5.252729568,-0.373689037,19.02009702,1.493827363,1.073912626
0.007919934,1.339019626,24.20974726,-0.978780584,22.64801867,0.722892264,1.561428368
-0.002643904,1.208913407,21.83906127,-1.264247163,32.10289695,1.179365953,1.574590762
0.004099067,0.102159638,4.599848934,-0.262808876,44.72868634,15.01396387,0.903234339
-0.000830634,-1.011486854,4.46373928,0.883274382,2.338870118,-11.54775927,10.54548438
0.001362244,1.432501483,24.20974726,-1.049699294,22.64801867,0.722892264,1.561428368
0.009244334,1.393523481,24.20974726,-1.040499554,22.64801867,0.722892264,1.561428368
-0.011795393,1.217801942,21.83906127,-1.247617091,32.10289695,1.179365953,1.574590762
0.003752309,1.159989061,21.83906127,-1.22210162,32.10289695,1.179365953,1.574590762
-0.001574383,13.31402306,22.33980395,-12.78120552,21.8596375,-3.605342016,1.583743082
-0.002772563,6.791651635,27.82410651,-7.979123342,35.76400819,-3.176982476,1.403557444
-0.002911287,1.576031334,24.20974726,-1.170373707,22.64801867,0.722892264,1.561428368
-0.005145534,1.380971719,21.83906127,-1.491236027,32.10289695,1.179365953,1.574590762
0.011719253,1.123650643,24.20974726,-0.799051329,22.64801867,0.722892264,1.561428368
-0.011138183,-1.416605498,4.46373928,1.216567627,2.338870118,-11.54775927,10.54548438
-0.003087379,13.44871055,22.33980395,-12.88914061,21.8596375,-3.605342016,1.583743082
-0.004693641,-1.295477314,4.46373928,1.114640645,2.338870118,-11.54775927,10.54548438
0.001617936,15.18967923,22.33980395,-14.60616543,21.8596375,-3.605342016,1.583743082
-0.001078095,0.37573141,11.90742305,-0.452506384,35.25117226,3.679976821,0.799427639
-0.006034056,1.224385711,21.83906127,-1.269544551,32.10289695,1.179365953,1.574590762
0.001627216,-1.370807898,4.46373928,1.169649511,2.338870118,-11.54775927,10.54548438
-0.008270688,6.658611976,27.82410651,-7.803913062,35.76400819,-3.176982476,1.403557444
-0.009173384,-1.331929668,4.46373928,1.146543284,2.338870118,-11.54775927,10.54548438
0.006957691,0.98602394,21.83906127,-0.990776768,32.10289695,1.179365953,1.574590762
-0.001387809,-0.856420367,4.46373928,0.760404763,2.338870118,-11.54775927,10.54548438
-0.009980102,0.425195917,11.90742305,-0.54912737,35.25117226,3.679976821,0.799427639
0.012102616,-0.956896145,4.46373928,0.831751217,2.338870118,-11.54775927,10.54548438
0.011401923,1.235235888,24.20974726,-0.893497798,22.64801867,0.722892264,1.561428368
-0.007260032,1.141209803,21.83906127,-1.135549466,32.10289695,1.179365953,1.574590762
-0.009112218,1.291793206,21.83906127,-1.36067415,32.10289695,1.179365953,1.574590762
-0.004736864,-1.221804892,4.46373928,1.055715964,2.338870118,-11.54775927,10.54548438
0.010875959,1.13024675,21.83906127,-1.187478343,32.10289695,1.179365953,1.574590762
-0.006182848,6.58263162,27.82410651,-7.685104591,35.76400819,-3.176982476,1.403557444
0.00045315,1.827600595,24.20974726,-1.444286766,22.64801867,0.722892264,1.561428368
0.006310948,1.014060018,21.83906127,-1.029352175,32.10289695,1.179365953,1.574590762
-0.001686717,1.139244165,21.83906127,-1.192695531,32.10289695,1.179365953,1.574590762
-0.017131396,1.504991632,21.83906127,-1.612900775,32.10289695,1.179365953,1.574590762
0.004677216,10.4373647,22.33980395,-9.968504341,21.8596375,-3.605342016,1.583743082
-0.00995322,7.963245782,27.82410651,-9.42366192,35.76400819,-3.176982476,1.403557444
-0.008075124,1.311306083,21.83906127,-1.386021049,32.10289695,1.179365953,1.574590762
-0.020314657,1.556744587,21.83906127,-1.698041919,32.10289695,1.179365953,1.574590762
0.008072745,5.161675836,27.82410651,-6.004433201,35.76400819,-3.176982476,1.403557444
-0.005363392,-1.325637276,4.46373928,1.140863376,2.338870118,-11.54775927,10.54548438
-0.00356005,1.642153999,24.20974726,-1.237045643,22.64801867,0.722892264,1.561428368
-0.00896538,-0.863904552,4.46373928,0.773332726,2.338870118,-11.54775927,10.54548438
-0.004643785,1.106800847,21.83906127,-1.1269923,32.10289695,1.179365953,1.574590762
0.013429893,1.21116046,24.20974726,-0.880108962,22.64801867,0.722892264,1.561428368
-0.007406798,0.395570982,11.90742305,-0.495505109,35.25117226,3.679976821,0.799427639
-0.011255905,-1.465012652,4.46373928,1.2552064,2.338870118,-11.54775927,10.54548438
-0.012657919,-1.309421382,4.46373928,1.130772568,2.338870118,-11.54775927,10.54548438
0.003199468,0.954255488,21.83906127,-0.910715645,32.10289695,1.179365953,1.574590762
-0.001187768,10.06322117,22.33980395,-9.585541154,21.8596375,-3.605342016,1.583743082
0.007690593,0.341822073,11.90742305,-0.422139722,35.25117226,3.679976821,0.799427639
0.017084188,0.274170788,11.90742305,-0.282814618,35.25117226,3.679976821,0.799427639
0.004567678,1.56663199,24.20974726,-1.202753053,22.64801867,0.722892264,1.561428368
-0.010189874,1.154398109,21.83906127,-1.151882448,32.10289695,1.179365953,1.574590762
0.002291956,0.320984601,11.90742305,-0.341587294,35.25117226,3.679976821,0.799427639
0.012681352,1.428027232,24.20974726,-1.080009532,22.64801867,0.722892264,1.561428368
-0.000209174,1.097454517,21.83906127,-1.118913343,32.10289695,1.179365953,1.574590762
0.001954301,0.957087546,21.83906127,-0.921737335,32.10289695,1.179365953,1.574590762
9.98E-05,1.117931449,21.83906127,-1.146944451,32.10289695,1.179365953,1.574590762
-0.004911598,1.229073965,21.83906127,-1.279136935,32.10289695,1.179365953,1.574590762
-0.00037753,0.105576498,4.599848934,-0.32326506,44.72868634,15.01396387,0.903234339
0.004257881,1.889665002,24.20974726,-1.493800356,22.64801867,0.722892264,1.561428368
-0.002985046,0.397636219,11.90742305,-0.51325325,35.25117226,3.679976821,0.799427639
0.002646421,11.41056411,22.33980395,-10.90638471,21.8596375,-3.605342016,1.583743082
-0.003532216,1.758368086,24.20974726,-1.340519818,22.64801867,0.722892264,1.561428368
-0.00315763,-1.370382873,4.46373928,1.173985634,2.338870118,-11.54775927,10.54548438
1.69E-05,-1.222737433,4.46373928,1.053310094,2.338870118,-11.54775927,10.54548438
0.006150867,0.331173985,11.90742305,-0.373487548,35.25117226,3.679976821,0.799427639
-0.001353556,0.104904264,4.599848934,-0.295673351,44.72868634,15.01396387,0.903234339
-0.011661256,1.346140933,21.83906127,-1.404335013,32.10289695,1.179365953,1.574590762
